version	min_macos	architectures	url	sha256	python_path
3.14.7	10.15	arm64,x86_64	https://www.python.org/ftp/python/3.14.7/python-3.14.7-macos11.pkg	70c5239ad2d62925d2947e46921d0ddd3d35be3d2f0a2d50db33da507dbcb419	/Library/Frameworks/Python.framework/Versions/3.14/bin/python3
3.13.15	10.13	arm64,x86_64	https://www.python.org/ftp/python/3.13.15/python-3.13.15-macos11.pkg	3b7eaf7f29825f796e8267024435540ddf1f17fc9a97ad58095daa7a75bfdcd3	/Library/Frameworks/Python.framework/Versions/3.13/bin/python3
